id;gender;geographical_area;edu_qualification;employment_status;age_score;age_label;FA1;FA2;FA3;FA;FK1;FK2;FK3;FK4;FK5;FK6;FK7;FK;FB1;FB2;FB3;FB4;FB5;FB6;FB7;FB8;FB
1492;M;North-east;40;Retired;3;Anziani;4;2;3;3;0;1;0;0;1;1;0;3;0;1;1;1;1;1;0;1;6
1493;M;Centre;40;Employed;2;Adulti;5;4;4;4,33;1;1;1;0;1;1;0;5;0;1;1;1;1;0;0;1;5
1494;M;South;10;Employed;1;Giovani;2;2;2;2;0;0;0;0;0;0;0;0;1;1;1;0;0;1;2;1;7
1495;M;Islands;30;Employed;1;Giovani;1;3;2;2;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;2
1496;F;South;40;Unemployed;1;Giovani;1;3;3;2,33;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;6
1497;F;South;10;Employed;1;Giovani;2;2;2;2;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;7
1498;M;North-east;30;Employed;2;Adulti;4;3;4;3,67;1;0;1;1;1;1;0;5;0;0;1;1;1;0;0;0;3
1499;M;North-west;30;Employed;1;Giovani;4;3;3;3,33;0;1;1;0;1;0;0;3;1;1;1;1;1;1;1;0;7
1500;F;Centre;40;Homemaker;3;Anziani;4;2;2;2,67;1;0;0;0;0;1;0;2;1;0;1;1;0;0;0;1;4
1501;M;North-west;40;Employed;1;Giovani;4;4;3;3,67;0;1;0;0;0;0;0;1;1;0;0;1;1;1;1;1;6
1502;M;South;50;Employed;2;Adulti;5;5;3;4,33;0;1;0;0;0;1;0;2;1;1;1;1;1;0;0;1;6
1503;F;North-east;30;Unemployed;2;Adulti;2;5;5;4;0;0;0;0;1;0;0;1;1;0;1;1;1;0;0;0;4
1505;F;North-east;30;Unemployed;2;Adulti;1;2;3;2;1;0;0;0;0;1;0;2;0;0;1;1;1;0;0;0;3
1506;F;Centre;10;Self-employed;2;Adulti;1;5;5;3,67;0;1;1;0;1;0;0;3;0;1;1;0;0;0;0;1;3
1508;F;North-east;30;Employed;2;Adulti;2;3;2;2,33;1;1;1;1;1;1;0;6;0;1;1;1;1;0;1;1;6
1509;M;North-west;40;Employed;2;Adulti;5;4;4;4,33;1;1;1;0;0;1;0;4;0;1;1;1;1;0;1;1;6
1510;M;North-east;30;Employed;2;Adulti;4;4;4;4;1;1;1;1;1;1;1;7;0;1;1;1;1;0;0;1;5
1511;F;Islands;10;Self-employed;1;Giovani;4;3;4;3,67;0;1;0;0;0;1;0;2;0;0;1;1;1;0;0;1;4
1512;M;North-east;40;Unemployed;1;Giovani;2;3;5;3,33;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;3
1513;F;Centre;30;Self-employed;1;Giovani;4;3;3;3,33;1;1;1;0;1;0;0;4;0;1;0;0;0;0;1;1;3
1514;M;South;40;Employed;1;Giovani;1;4;4;3;1;0;0;0;0;0;0;1;0;0;1;1;1;1;0;1;5
1515;M;South;10;Employed;1;Giovani;3;3;2;2,67;0;0;0;0;0;0;0;0;1;1;0;0;1;0;2;1;6
1516;M;Centre;30;Employed;2;Adulti;5;4;4;4,33;0;1;1;1;1;1;0;5;0;1;1;1;1;1;1;1;7
1517;M;Centre;30;Retired;3;Anziani;5;1;5;3,67;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;5
1518;M;South;30;Employed;1;Giovani;1;2;2;1,67;1;1;0;0;0;1;0;3;0;0;1;1;1;0;1;0;4
1519;F;North-west;30;Employed;2;Adulti;5;5;5;5;0;0;0;0;1;1;1;3;1;1;1;1;1;1;0;1;7
1520;M;Islands;40;Unemployed;1;Giovani;2;2;2;2;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;4
1523;M;North-east;40;Employed;2;Adulti;3;3;3;3;0;0;0;0;1;1;0;2;0;0;0;1;1;0;0;1;3
1524;M;Centre;10;Employed;2;Adulti;4;5;1;3,33;1;1;1;1;0;0;0;4;1;1;1;0;0;0;0;1;4
1526;F;South;40;Retired;3;Anziani;5;4;4;4,33;1;0;1;1;1;1;1;6;0;1;1;1;1;1;0;1;6
1527;F;Centre;50;Retired;3;Anziani;5;5;3;4,33;1;1;1;1;1;0;0;5;0;1;1;1;1;0;0;1;5
1529;M;Islands;40;Employed;2;Adulti;5;1;5;3,67;1;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;7
1531;M;North-west;30;Employed;1;Giovani;4;3;3;3,33;1;1;0;0;1;0;0;3;1;0;1;0;0;0;1;1;4
1532;M;Centre;30;Employed;2;Adulti;2;3;3;2,67;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;3
1533;F;South;10;Self-employed;1;Giovani;3;3;2;2,67;1;1;1;0;1;1;0;5;1;1;1;0;1;1;1;1;7
1534;F;Centre;30;Homemaker;2;Adulti;4;2;2;2,67;1;1;1;1;1;1;0;6;0;0;1;1;0;0;0;0;2
1535;F;North-west;10;Employed;1;Giovani;4;4;3;3,67;1;1;1;1;1;1;1;7;0;1;1;1;1;0;0;1;5
1537;M;South;40;Employed;2;Adulti;2;3;2;2,33;0;0;1;0;1;1;0;3;0;0;1;1;0;0;0;1;3
1538;F;North-west;30;Homemaker;2;Adulti;5;4;4;4,33;1;1;1;1;1;1;1;7;0;0;1;1;1;0;1;1;5
1539;M;North-east;30;Employed;2;Adulti;5;1;2;2,67;1;0;0;0;1;1;0;3;0;1;1;1;1;1;2;1;8
1541;F;North-east;30;Student;1;Giovani;2;4;3;3;0;1;1;1;1;1;1;6;0;1;1;1;1;0;1;1;6
1542;M;Centre;30;Student;1;Giovani;5;5;3;4,33;0;0;0;0;1;1;1;3;0;1;1;1;1;0;2;1;7
1543;F;North-east;30;Employed;2;Adulti;4;4;3;3,67;1;1;1;1;0;1;1;6;1;0;1;1;1;1;0;1;6
1544;F;Centre;10;Employed;1;Giovani;5;5;3;4,33;1;1;1;0;0;1;0;4;1;0;1;0;1;1;0;0;4
1545;M;North-west;10;Employed;1;Giovani;4;4;4;4;0;1;1;1;1;1;1;6;1;1;1;1;1;1;1;1;8
1546;F;North-east;40;Employed;1;Giovani;1;4;3;2,67;0;0;0;0;0;0;0;0;1;1;1;0;0;0;2;0;5
1547;M;South;30;Self-employed;2;Adulti;2;5;1;2,67;0;1;0;0;0;1;0;2;1;1;1;1;1;0;0;0;5
1548;M;Centre;30;Self-employed;2;Adulti;4;1;3;2,67;0;0;0;0;0;0;1;1;1;0;1;0;1;1;0;1;5
1549;F;North-west;10;Employed;1;Giovani;4;4;3;3,67;0;1;1;1;1;0;0;4;0;1;1;1;0;0;0;1;4
1550;F;North-east;40;Retired;3;Anziani;4;4;3;3,67;1;1;0;0;1;1;1;5;1;1;1;1;1;0;0;1;6
1551;F;Islands;30;Homemaker;1;Giovani;3;5;3;3,67;0;1;1;1;0;0;0;3;0;0;1;1;1;1;0;0;4
1552;M;North-east;30;Employed;2;Adulti;3;3;3;3;0;1;1;1;1;1;1;6;0;0;1;0;0;0;1;0;2
1554;F;North-west;30;Employed;2;Adulti;4;4;5;4,33;1;0;0;0;0;0;0;1;0;1;1;1;1;0;0;1;5
1555;M;North-east;40;Unemployed;2;Adulti;1;1;1;1;1;1;1;0;1;1;1;6;0;0;1;0;0;0;0;1;2
1556;F;North-west;40;Employed;2;Adulti;2;3;1;2;0;1;0;0;1;1;1;4;1;0;1;0;0;1;0;0;3
1557;F;North-east;50;Retired;3;Anziani;1;5;5;3,67;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;1;4
1558;F;North-west;30;Self-employed;2;Adulti;4;3;2;3;1;1;1;1;1;1;0;6;0;1;1;1;1;1;0;0;5
1559;F;South;30;Unemployed;2;Adulti;4;4;3;3,67;0;1;1;1;1;1;1;6;1;1;1;1;0;0;2;1;7
1560;F;North-east;40;Employed;2;Adulti;2;4;3;3;0;1;1;0;1;1;0;4;0;0;1;0;1;0;0;0;2
1561;F;North-east;40;Homemaker;1;Giovani;5;5;4;4,67;0;0;0;0;1;1;0;2;1;1;1;1;1;1;0;1;7
1562;M;Islands;40;Employed;2;Adulti;5;4;3;4;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;6
1564;M;Centre;40;Employed;1;Giovani;2;2;3;2,33;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0;1;5
1565;M;Centre;40;Employed;1;Giovani;1;3;3;2,33;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;4
1567;M;North-east;30;Employed;2;Adulti;3;5;3;3,67;0;1;1;1;1;0;0;4;1;0;1;0;1;0;0;0;3
1568;F;North-east;30;Unemployed;1;Giovani;4;3;3;3,33;1;1;1;0;1;1;0;5;0;1;1;1;1;1;1;1;7
1569;M;North-west;30;Employed;1;Giovani;2;2;3;2,33;1;1;1;0;1;1;1;6;0;1;1;1;0;1;0;1;5
1570;M;North-east;30;Employed;2;Adulti;3;3;3;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;1;5
1572;F;South;30;Employed;1;Giovani;2;3;3;2,67;0;0;0;0;0;1;1;2;0;1;1;0;1;1;0;0;4
1573;M;North-west;10;Employed;2;Adulti;4;3;3;3,33;1;1;1;1;1;1;1;7;1;1;0;0;0;0;0;0;2
1574;F;North-east;10;Other;2;Adulti;3;4;3;3,33;1;1;0;0;1;1;1;5;0;0;0;0;0;0;0;1;1
1575;F;North-east;10;Unemployed;1;Giovani;1;1;1;1;1;0;0;0;0;1;1;3;0;0;0;0;0;0;0;1;1
1576;M;North-east;40;Retired;3;Anziani;3;4;5;4;1;1;1;0;1;1;0;5;0;0;1;1;0;0;0;1;3
1577;M;North-west;40;Self-employed;1;Giovani;3;2;2;2,33;1;1;0;0;1;1;1;5;1;1;1;1;0;1;1;1;7
1578;M;South;10;Self-employed;2;Adulti;3;1;4;2,67;1;0;1;1;1;1;0;5;0;1;0;1;1;1;0;1;5
1579;F;North-east;40;Homemaker;2;Adulti;5;5;5;5;0;1;1;0;1;1;0;4;0;1;1;0;1;0;1;0;4
1580;F;North-east;10;Homemaker;2;Adulti;2;2;2;2;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;4
1581;F;North-east;10;Employed;2;Adulti;5;3;3;3,67;1;1;0;0;1;1;1;5;0;1;1;1;1;1;0;1;6
1582;F;South;10;Homemaker;2;Adulti;5;5;3;4,33;0;1;1;1;1;1;0;5;0;1;1;1;1;0;0;1;5
1583;M;North-west;30;Employed;2;Adulti;3;5;3;3,67;0;0;1;1;1;1;1;5;0;0;1;1;1;1;1;0;5
1584;F;North-east;10;Retired;3;Anziani;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2
1585;F;North-east;30;Unemployed;1;Giovani;3;3;2;2,67;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;3
1586;M;Centre;30;Employed;2;Adulti;4;4;4;4;1;1;0;0;0;1;0;3;0;1;1;1;1;0;0;1;5
1587;F;Centre;30;Employed;2;Adulti;4;5;4;4,33;1;1;1;1;1;1;1;7;0;1;1;1;1;0;0;1;5
1588;F;North-east;30;Homemaker;2;Adulti;2;5;5;4;1;0;1;1;0;1;1;5;0;0;1;0;0;0;0;0;1
1589;F;South;30;Homemaker;2;Adulti;2;3;3;2,67;1;1;1;0;1;0;0;4;1;1;0;0;0;0;1;1;4
1590;M;North-east;40;Employed;2;Adulti;4;3;3;3,33;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;2
1591;F;North-west;40;Homemaker;2;Adulti;5;5;5;5;1;0;0;0;0;1;0;2;0;0;1;1;1;0;0;0;3
1593;M;North-west;40;Other;2;Adulti;1;5;5;3,67;0;0;0;0;1;1;0;2;0;0;1;1;1;0;0;0;3
1594;F;South;30;Homemaker;1;Giovani;1;5;5;3,67;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;3
1596;M;North-west;30;Retired;3;Anziani;5;1;2;2,67;1;0;1;0;1;1;0;4;0;1;1;1;1;1;1;1;7
1597;M;Centre;40;Employed;1;Giovani;5;3;2;3,33;1;1;1;1;1;1;1;7;1;1;1;1;0;1;0;1;6
1598;F;North-east;50;Retired;3;Anziani;2;3;2;2,33;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;5
1599;F;Centre;10;Student;1;Giovani;3;4;4;3,67;1;0;0;0;1;0;0;2;0;0;1;0;0;0;0;1;2
1600;M;South;10;Employed;2;Adulti;4;5;4;4,33;0;1;1;1;1;1;1;6;1;1;1;0;1;1;0;1;6
1601;F;North-east;30;Employed;2;Adulti;4;4;4;4;1;1;0;0;1;1;0;4;0;1;1;0;0;0;0;0;2
1602;M;North-east;30;Employed;2;Adulti;2;3;3;2,67;1;1;1;0;1;1;1;6;0;0;1;1;0;0;0;1;3
1603;F;North-east;40;Unemployed;2;Adulti;2;2;1;1,67;1;0;0;0;1;1;0;3;0;0;1;1;1;0;0;0;3
1605;M;South;10;Employed;1;Giovani;4;4;4;4;1;1;1;1;1;1;0;6;0;1;1;1;0;1;1;1;6
1607;F;Islands;10;Student;1;Giovani;3;3;3;3;1;1;1;0;0;1;1;5;0;0;1;0;0;0;1;1;3
1608;F;North-east;40;Homemaker;2;Adulti;5;3;3;3,67;0;1;0;0;1;0;1;3;1;1;0;1;0;1;0;1;5
1609;F;North-east;30;Employed;2;Adulti;5;5;4;4,67;1;1;1;0;1;1;1;6;0;1;1;1;1;0;1;1;6
1610;M;Centre;40;Employed;2;Adulti;2;4;3;3;1;1;1;1;1;1;0;6;0;0;1;0;0;0;0;0;1
1611;M;North-west;30;Self-employed;2;Adulti;3;3;2;2,67;0;0;1;1;1;0;0;3;0;0;0;1;0;1;0;1;3
1612;F;North-east;40;Self-employed;2;Adulti;3;4;3;3,33;0;1;0;0;1;0;0;2;0;0;1;1;0;0;1;0;3
1613;M;North-east;40;Employed;2;Adulti;4;5;4;4,33;1;1;1;0;1;1;1;6;0;1;1;1;0;0;1;1;5
1614;F;South;40;Homemaker;2;Adulti;5;5;5;5;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;0;7
1615;M;South;40;Self-employed;2;Adulti;1;3;2;2;0;1;1;1;0;1;0;4;0;0;1;0;0;0;0;0;1
1616;M;Centre;30;Self-employed;3;Anziani;1;1;1;1;1;0;0;0;1;1;0;3;0;0;1;0;1;1;1;0;4
1617;M;Centre;30;Employed;1;Giovani;3;3;3;3;1;0;1;1;1;1;1;6;1;0;0;0;0;1;1;1;4
1618;M;Centre;40;Employed;2;Adulti;5;3;2;3,33;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;1;6
1619;M;North-west;10;Employed;1;Giovani;5;5;3;4,33;0;0;0;0;1;0;1;2;1;1;1;1;0;0;1;1;6
1621;F;North-east;40;Employed;2;Adulti;4;5;5;4,67;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;7
1622;F;Centre;30;Homemaker;2;Adulti;4;4;3;3,67;1;1;0;0;0;0;0;2;0;1;1;1;1;0;0;1;5
1623;F;Centre;30;Retired;2;Adulti;1;2;3;2;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;3
1624;F;Centre;30;Self-employed;2;Adulti;3;2;2;2,33;1;1;1;1;1;1;1;7;0;0;1;1;1;0;0;1;4
1625;F;North-west;30;Employed;1;Giovani;1;2;3;2;1;1;0;0;0;1;1;4;1;1;0;0;0;0;0;0;2
1626;F;Centre;40;Student;1;Giovani;1;2;3;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;4
1628;F;North-east;30;Employed;1;Giovani;5;5;5;5;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;1;6
1629;F;Centre;10;Self-employed;2;Adulti;5;3;2;3,33;0;0;1;0;1;1;0;3;1;1;1;1;1;1;1;1;8
1630;M;North-east;10;Employed;1;Giovani;2;1;3;2;1;0;0;0;0;0;0;1;0;1;1;1;1;0;1;1;6
1631;F;Centre;30;Employed;2;Adulti;4;2;3;3;1;0;1;1;0;0;0;3;0;0;1;1;0;0;0;0;2
1632;F;Centre;10;Unemployed;2;Adulti;2;3;3;2,67;1;1;0;0;1;1;0;4;0;1;1;0;1;0;0;1;4
1634;F;Centre;40;Homemaker;2;Adulti;3;1;3;2,33;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;3
1635;M;North-east;40;Employed;2;Adulti;1;1;1;1;0;1;0;0;1;1;0;3;1;1;1;1;1;1;1;1;8
1636;F;North-east;10;Homemaker;2;Adulti;4;5;3;4;1;1;1;1;1;1;1;7;0;1;1;1;1;0;1;1;6
1637;F;Centre;30;Employed;2;Adulti;3;3;1;2,33;1;0;0;0;1;1;1;4;0;0;1;1;1;0;0;0;3
1638;M;North-east;10;Employed;2;Adulti;5;5;4;4,67;1;1;1;1;1;1;1;7;0;1;0;1;1;1;1;1;6
1639;F;Centre;30;Homemaker;1;Giovani;5;5;3;4,33;1;1;1;0;1;1;0;5;1;0;1;1;1;1;1;1;7
1640;M;North-east;30;Employed;2;Adulti;2;4;5;3,67;1;0;1;1;1;1;0;5;0;1;1;0;1;1;0;1;5
1641;M;South;50;Retired;3;Anziani;1;3;3;2,33;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;4
1642;M;Centre;30;Employed;2;Adulti;4;4;2;3,33;1;1;1;1;1;1;1;7;0;1;1;1;0;1;1;1;6
1643;M;Centre;10;Unemployed;1;Giovani;3;4;3;3,33;0;0;0;0;1;0;0;1;1;1;0;1;1;0;0;1;5
1645;M;South;30;Unemployed;1;Giovani;3;2;2;2,33;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;4
1646;M;Islands;30;Employed;2;Adulti;5;3;3;3,67;1;1;1;1;1;1;0;6;0;1;1;1;1;1;0;1;6
1647;M;Islands;30;Employed;2;Adulti;2;3;3;2,67;0;1;1;1;0;1;0;4;0;0;1;1;1;0;1;1;5
1648;F;Islands;10;Homemaker;2;Adulti;3;3;3;3;1;0;0;0;1;1;0;3;0;0;1;1;0;0;0;1;3
1649;M;South;50;Retired;3;Anziani;3;3;3;3;1;1;1;1;0;0;1;5;0;0;1;1;1;0;0;1;4
1650;M;Islands;30;Unemployed;1;Giovani;5;5;4;4,67;1;1;1;1;1;1;1;7;0;0;1;0;1;0;0;1;3
1651;M;Islands;40;Retired;3;Anziani;2;5;2;3;0;1;0;0;1;0;0;2;0;1;1;1;0;0;0;1;4
686456;F;North-east;40;Retired;3;Anziani;5;3;2;3,33;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;1;4
686457;M;North-east;40;Employed;2;Adulti;5;3;2;3,33;0;1;0;0;1;1;0;3;1;0;1;1;1;0;0;1;5
686458;F;North-east;30;Employed;2;Adulti;5;3;2;3,33;1;0;1;1;0;1;0;4;0;0;1;1;0;1;1;1;5
686459;F;North-east;40;Unemployed;2;Adulti;5;3;2;3,33;1;0;0;0;1;1;0;3;0;0;1;0;0;0;0;1;2
686460;M;North-east;30;Unemployed;1;Giovani;2;2;2;2;0;0;0;0;1;1;1;3;0;0;1;0;0;0;0;1;2
686466;M;North-east;30;Employed;2;Adulti;5;3;2;3,33;1;1;1;0;1;1;1;6;1;0;1;0;1;1;1;1;6
686467;F;North-east;30;Employed;1;Giovani;3;2;3;2,67;0;1;1;0;1;1;0;4;0;0;1;0;1;0;0;0;2
686468;M;North-east;30;Self-employed;3;Anziani;5;4;2;3,67;0;0;1;0;1;1;0;3;0;0;1;0;1;0;0;1;3
686470;F;South;40;Homemaker;2;Adulti;1;3;3;2,33;0;1;1;1;1;1;0;5;0;0;1;1;1;0;0;1;4
686471;F;South;30;Homemaker;2;Adulti;1;5;3;3;0;1;1;1;1;1;1;6;0;0;1;1;1;0;0;1;4
686472;M;South;30;Employed;2;Adulti;1;4;1;2;0;1;1;0;1;1;1;5;0;0;1;1;1;0;0;1;4
686473;M;South;30;Employed;2;Adulti;2;5;3;3,33;0;1;1;1;1;1;1;6;0;0;1;1;1;0;0;1;4
686474;M;South;10;Self-employed;2;Adulti;1;2;1;1,33;1;1;1;0;1;1;0;5;0;0;1;1;1;1;0;0;4
686475;M;South;30;Retired;3;Anziani;2;2;3;2,33;1;1;1;1;1;1;1;7;0;0;1;1;1;0;0;1;4
686476;F;South;10;Retired;2;Adulti;1;4;1;2;1;1;1;1;1;1;1;7;0;0;1;1;1;0;0;1;4
686477;F;South;10;Student;1;Giovani;1;3;5;3;1;1;1;1;1;1;1;7;0;0;1;1;1;0;0;1;4
686478;M;South;10;Student;1;Giovani;3;3;1;2,33;1;1;1;1;1;1;1;7;0;0;1;1;1;1;1;1;6
686488;F;North-west;40;Employed;1;Giovani;1;3;3;2,33;0;1;0;0;1;1;0;3;1;0;1;0;1;0;1;0;4
686489;F;North-west;40;Homemaker;2;Adulti;2;4;3;3;1;1;1;1;1;1;1;7;1;0;1;1;1;0;0;1;5
686490;M;North-west;10;Employed;2;Adulti;3;3;2;2,67;0;1;0;0;1;1;1;4;1;1;1;1;1;0;1;1;7
686491;M;North-west;40;Retired;3;Anziani;4;4;3;3,67;1;1;1;0;1;1;0;5;0;0;1;1;1;0;2;1;6
686492;F;North-west;40;Retired;3;Anziani;3;3;1;2,33;0;1;0;0;1;1;0;3;0;0;0;1;1;0;0;1;3
686493;M;North-west;40;Retired;3;Anziani;3;3;3;3;1;1;1;1;1;1;0;6;0;1;1;1;1;0;0;1;5
686494;F;North-west;30;Retired;3;Anziani;5;5;3;4,33;0;0;1;0;1;1;0;3;0;1;1;1;0;0;2;1;6
686495;M;North-west;50;Retired;3;Anziani;4;4;5;4,33;0;0;0;0;1;1;0;2;0;1;1;1;1;1;0;1;6
686513;M;North-west;40;Retired;3;Anziani;3;4;4;3,67;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;1;3
686514;M;North-west;30;Employed;2;Adulti;3;4;3;3,33;0;0;0;0;1;1;1;3;0;1;0;0;0;0;0;0;1
686515;F;North-west;40;Self-employed;2;Adulti;2;2;3;2,33;0;1;0;0;1;0;1;3;1;1;1;0;0;1;0;1;5
686516;M;North-west;40;Retired;3;Anziani;3;3;4;3,33;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2
686517;F;North-west;10;Self-employed;2;Adulti;3;2;3;2,67;0;1;0;0;1;1;1;4;1;1;1;0;1;0;0;1;5
686518;M;North-west;30;Employed;2;Adulti;1;3;1;1,67;0;0;0;0;1;0;0;1;1;1;1;0;0;1;0;1;5
686519;M;North-west;30;Employed;2;Adulti;4;4;4;4;0;1;0;0;1;1;1;4;1;1;1;1;0;0;1;1;6
686520;F;North-west;30;Employed;2;Adulti;4;4;4;4;1;0;0;0;1;1;0;3;0;0;1;1;0;0;0;1;3
686521;M;North-west;10;Self-employed;2;Adulti;3;4;3;3,33;1;1;0;0;1;1;1;5;0;1;0;1;0;0;1;1;4
686522;M;North-west;40;Retired;3;Anziani;3;2;3;2,67;1;0;0;0;1;1;1;4;0;0;1;0;1;0;0;0;2
686523;M;North-west;10;Employed;2;Adulti;3;4;3;3,33;0;0;0;0;1;1;0;2;0;1;1;1;0;0;0;1;4
686524;F;North-west;40;Retired;3;Anziani;5;4;3;4;1;0;1;0;1;1;1;5;0;1;1;1;0;0;1;1;5
686525;M;North-west;10;Student;1;Giovani;1;3;3;2,33;1;0;0;0;1;1;1;4;0;0;1;0;1;0;1;1;4
686526;F;North-west;40;Retired;3;Anziani;5;3;3;3,67;0;0;0;0;1;1;1;3;0;1;1;1;1;1;1;1;7
686527;F;North-west;40;Retired;3;Anziani;3;4;3;3,33;1;0;0;0;1;1;1;4;0;1;0;1;1;0;0;1;4
686528;F;North-west;30;Employed;2;Adulti;5;4;3;4;1;0;0;0;1;1;0;3;1;1;1;1;0;0;1;1;6
686534;M;North-west;40;Retired;3;Anziani;4;4;3;3,67;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;4
686535;M;North-west;30;Employed;2;Adulti;3;3;2;2,67;0;0;0;0;1;1;0;2;1;1;1;1;1;1;1;0;7
686536;F;North-west;40;Employed;2;Adulti;1;1;1;1;0;0;0;0;1;1;1;3;0;0;0;0;0;0;2;0;2
686537;F;North-west;40;Employed;2;Adulti;4;3;3;3,33;0;0;0;0;1;0;1;2;1;1;0;1;0;1;1;1;6
686539;F;North-west;40;Self-employed;2;Adulti;3;4;3;3,33;1;0;0;0;0;0;0;1;1;1;0;1;0;1;1;0;5
686540;F;North-west;40;Retired;3;Anziani;5;5;5;5;1;0;0;0;0;1;0;2;1;1;0;1;0;0;0;1;4
686541;F;North-west;40;Retired;3;Anziani;3;2;3;2,67;1;0;0;0;1;1;0;3;1;1;1;1;1;1;1;0;7
686543;M;North-west;40;Self-employed;2;Adulti;3;3;4;3,33;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;4
686545;M;North-west;40;Retired;3;Anziani;5;3;4;4;1;0;0;0;1;1;1;4;1;1;1;1;1;1;0;1;7
686546;M;North-west;40;Unemployed;2;Adulti;1;1;1;1;1;0;0;0;1;1;1;4;0;0;0;1;0;0;0;0;1
686547;F;North-west;40;Employed;3;Anziani;4;3;3;3,33;1;0;0;0;0;0;0;1;1;1;0;0;1;1;1;1;6
686549;M;North-west;40;Self-employed;2;Adulti;3;2;3;2,67;1;0;0;0;0;1;0;2;1;1;1;1;1;1;1;0;7
686551;F;North-west;30;Employed;1;Giovani;3;1;3;2,33;1;1;1;0;0;1;0;4;0;0;1;1;1;0;0;1;4
686552;F;North-west;40;Employed;2;Adulti;2;1;1;1,33;0;1;0;0;1;0;0;2;0;0;0;1;0;0;0;1;2
686554;M;North-west;30;Unemployed;1;Giovani;3;4;4;3,67;1;1;1;1;1;1;0;6;0;1;1;1;0;1;1;1;6
686555;F;North-west;40;Unemployed;2;Adulti;5;5;5;5;0;1;0;0;1;0;0;2;0;0;1;0;0;0;0;1;2
686556;M;North-west;30;Unemployed;1;Giovani;3;4;3;3,33;0;1;1;0;1;1;1;5;0;0;1;1;1;0;1;1;5
686558;F;North-west;30;Employed;2;Adulti;5;3;3;3,67;1;1;1;0;1;1;1;6;0;0;1;0;0;0;0;1;2
686560;M;North-west;10;Employed;2;Adulti;4;3;3;3,33;1;1;1;0;1;1;1;6;0;1;1;1;1;0;1;1;6
686561;M;North-west;30;Unemployed;2;Adulti;4;4;2;3,33;1;1;1;1;1;1;1;7;0;0;0;1;1;0;0;1;3
686564;M;North-west;40;Unemployed;2;Adulti;1;3;5;3;1;0;0;0;1;1;1;4;0;0;1;0;0;0;0;1;2
686565;F;North-west;10;Employed;2;Adulti;2;2;3;2,33;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;1;9
686566;M;North-west;30;Unemployed;1;Giovani;2;2;3;2,33;0;0;1;0;1;0;1;3;0;0;1;1;0;0;1;1;4
686567;F;North-west;40;Employed;2;Adulti;3;3;3;3;0;0;0;0;1;1;1;3;1;1;1;0;0;1;0;1;5
686568;F;North-west;30;Retired;3;Anziani;2;5;2;3;0;0;0;0;1;1;0;2;1;1;0;0;1;1;0;1;5
686569;F;North-west;40;Retired;3;Anziani;4;3;3;3,33;0;0;0;0;1;1;0;2;0;1;0;1;1;1;1;1;6
686570;F;North-west;40;Employed;2;Adulti;2;3;2;2,33;0;0;0;0;1;1;1;3;1;0;1;1;1;1;0;1;6
686571;M;North-west;40;Employed;2;Adulti;2;2;2;2;1;0;0;0;1;0;1;3;0;0;0;1;1;0;0;1;3
686572;M;North-west;40;Employed;1;Giovani;2;3;2;2,33;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;3
686573;F;North-west;40;Employed;1;Giovani;3;4;3;3,33;0;0;0;0;1;1;1;3;1;0;1;1;1;0;0;0;4
686574;F;North-west;30;Employed;1;Giovani;3;3;2;2,67;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;1;4
